Stage Name,Full Name,Korean Name,Date of Birth,Country,Group,Gender,,
Eunkwang,Seo Eunkwang,서은광,22/11/1990,South Korea,BtoB,M,,
Eunsang,Lee Eunsang,이은상,26/10/2002,South Korea,YOUNITE,M,,
Eunseo,Son Juyeon,손주연,27/05/1998,South Korea,WJSN,F,,
Eunseok,Song Eunseok,송은석,19/03/2001,South Korea,RIIZE,M,,
Eunseop,Kim Eunseop,김은섭,18/06/2006,South Korea,LUN8,M,,
Eunsung,Lee Eunsung,이은성,07/09/2000,South Korea,TheEastLight,M,,
Eunwoo,Jeong Eunwoo,정은우,01/07/1998,South Korea,Hinapia,F,,
Eunwoo,Cha Eunwoo,차은우,30/03/1997,South Korea,ASTRO,M,,
Eunyoung,Joo Eunyoung,주은영,12/06/1992,South Korea,Two X,F,,
Exy,Chu Sojung,추소정,06/11/1995,South Korea,WJSN,F,,
Eyedi,Nam Yujin,남유진,08/12/1995,South Korea,,,F,
Fatou,Fatou Samba,파투 삼바,23/03/1995,Belgium,Blackswan,F,,
Fei,Wang FeiFei,왕페이페이,27/04/1987,China,miss A,F,,
Felix,Lee Youngbok,이용복,15/09/2000,South Korea,Stray Kids,M,,
G-Dragon,Kwon Jiyong,권지용,18/08/1988,South Korea,BIGBANG,M,,
G.NA,Gina Jane Choi,최지나,13/09/1987,Canada,,Edmonton,F,
G.O,Jung Byunghee,정병희,06/11/1987,South Korea,MBLAQ,M,,
Gabi,Gabriela Strassburger Dalcin,가브리엘라 스트라스부르거 달신,07/11/2002,Brazil,Blackswan,F,,
Gabin,Kim Gabin,김가빈,18/09/1989,South Korea,Blady,F,,
Gabin,Yoo Seunghyun,유승현,11/09/2001,South Korea,JWiiver,M,,
Gaeul,Park Gaeul,박가을,08/05/1999,South Korea,Favorite,F,,
Gaeul,Kim Gaeul,김가을,24/09/2002,South Korea,IVE,F,,
Gaeun,Cho Kaeun,조가은,28/07/1992,South Korea,,Changwon,F,
Gaeun,Oh Gaeun,오가은,08/11/2005,South Korea,,LIMELIGHT,F,
Gaeun,Lee Gaeun,이가은,18/07/2000,South Korea,ARTBEAT,F,,
Gaga,Lee Soobin,이수빈,10/11/1994,South Korea,Gate9,F,,
Gaga,Li Jia Jia,리 지아 지아,01/09/1999,China,,China,F,
Gahyeon,Lee Gahyeon,이가현,03/02/1999,South Korea,Dreamcatcher,F,,
Gain,Son Gain,손가인,20/09/1987,South Korea,Brown Eyed Girls,F,,
Gaon,Beom Gaon,범가온,09/03/2001,South Korea,Bonus Baby,F,,
Gaon,Kwak Jiseok,곽지석,14/01/2002,South Korea,Xdinary Heroes,M,,
Garam,Kim Garam,김가람,16/11/2005,South Korea,,[F],,
Gayoon,Heo Gayoon,허가윤,18/05/1990,South Korea,4minute,F,,
Gayoung,Kim Gayoung,김가영,02/12/1991,South Korea,Stellar,F,,
Gehlee,Gehlee Dangca,젤리 당카,19/08/2007,Philippines,UNIS,F,,
Genie,Cho Heejin,조희진,19/03/2002,South Korea,TRACER,F,,
Geonu,Lee Geonwoo,이건우,02/02/2001,South Korea,JUST B,M,,
Geumhee,Han Geumhee,한금희,04/03/2005,South Korea,CSR,F,,
Geummi,Baek Boram,백보람,18/06/1988,South Korea,Crayon Pop,F,,
Gihwan,Kim Gihwan,김기환,24/11/1993,South Korea,SIGNAL,M,,
Gijung,Kim Gijung,김기중,24/01/2001,South Korea,IM,M,,
Gikwang,Lee Gikwang,이기광,30/03/1990,South Korea,Highlight,M,,
Giru,Park Giru,박기루,14/08/1991,South Korea,Blady,F,,
Giselle,Uchinaga Aeri,우치나가 애리,30/10/2000,Japan,aespa,F,,
Giseok,Jun Giseok,정기석,02/05/1997,South Korea,IM,M,,
GK,Kim Kwanghyun,김광현,29/09/1998,South Korea,DKB,M,,
Go_U,Jang Junho,고유,15/06/2001,South Korea,BLITZERS,M,,
Goeun,Na Goeun,나고은,03/09/1999,South Korea,Purple Kiss,F,,
Gohn,Kim Dongsung,김동성,01/08/1992,South Korea,Seoul,M,,
Gohyeon,Go Hyeon,고현,01/10/1994,South Korea,14U,M,,
Gon,Kim Seongjung,김성중,13/11/1998,South Korea,ARGON,M,,
Gon,Lee Wonseo,이원서,07/08/1995,South Korea,VANNER,M,,
Gongchan,Gong Chansik,공찬식,14/08/1993,South Korea,B1A4,M,,
Gowon,Park Chaewon,박채원,19/11/2000,South Korea,Loossemble,F,,
Gowoon,Moon Yujeong,문유정,18/12/1998,South Korea,Berry Good,F,,
Gracie,Kim Gaeun,김가운,28/10/1996,South Korea,H.U.B,F,,
Gun,Kwak Gun,곽건,29/09/2001,South Korea,14U,M,,
Gunil,Go Gunil,구건일,24/07/1998,South Korea,Xdinary Heroes,M,,
Gunmin,Lee Gunmin,이건민,03/10/1994,South Korea,B.I.G,M,,
Gunwoo,Lee Gunwoo,이건우,30/01/1989,South Korea,MYNAME,M,,
Gunwoo,Kim Gunwoo,김건우,28/05/2002,South Korea,T1419,M,,
Gunwook,Park Gunwook,박건욱,01/10/2005,South Korea,ZEROBASEONE,M,,
Gyehyeon,Jo Gyehyeon,조계현,14/05/1999,South Korea,Verivery,M,,
Gyeongtae,Kwon Gyeongtae,권경태,23/07/2000,South Korea,14U,M,,
Gyujin,Han Gyujin,한규진,21/11/1997,South Korea,UP10TION,M,,
Gyumin,Kim Gyumin,김규민,12/12/2000,South Korea,XODIAC,M,,
Gyurae,Kim Gyurae,김규래,28/02/2009,South Korea,FANTASY BOYS,M,,
Gyuri,Park Gyuri,박규리,21/05/1988,South Korea,KARA,F,,
Gyuri,Jang Gyuri,장규리,27/12/1997,South Korea,,F,,
Gyuvin,Kim Gyuvin,김규빈,30/08/2004,South Korea,ZEROBASEONE,M,,
Habin,Yoo Habin,유하빈,10/03/2002,South Korea,,F,,
Haebin,Han Haebin,한해빈,16/08/1995,South Korea,Gugudan,F,,
Haechan,Lee Donghyuk,이동혁,06/06/2000,South Korea,NCT,M,,
Haein,Yeom Haein,염해인,19/05/1995,South Korea,LABOUM,F,,
Haemin,Jung Haemin,정해민,16/03/2004,South Korea,8TURN,M,,
Haena,Lee Haena,이해나,02/06/1991,South Korea,Matilda,F,,
Haena,Jeon Eunbi,전은비,19/02/2002,South Korea,ANS,F,,
Haeri,Lee Haeri,이해리,14/02/1985,South Korea,Davichi,F,,
Haeri,Jung Haeri,정해리,14/01/1997,South Korea,P.O.P,F,,
Haerin,Kang Haerin,강해린,15/05/2006,South Korea,NewJeans,F,,
Haeryeong,Na Haeryeong,나해령,11/11/1994,South Korea,BESTie,F,,
Haeun,Yoon Haeun,윤하은,12/03/1999,South Korea,3YE,F,,
Haeun,Lim Haeun,임하은,02/11/2008,South Korea,Lapillus,F,,
Haeun,Lee Haeun,윤하은,25/06/2002,South Korea,ARTBEAT,F,,
Haewon,Oh Haewon,오해원,25/02/2003,South Korea,NMIXX,F,,
Haeyeon,Lee Taeyeon,이태연,11/01/1994,South Korea,Gate9,F,,
Haeyoon,Park Haeyoon,박해윤,10/01/1996,South Korea,Cherry Bullet,F,,
Hajeong,Lee Hajeong,이하정,23/09/1997,South Korea,,F,,
Hakmin,Lee Hakmin,이학민,20/09/2000,South Korea,TRCNG,M,,
Hamin,Kim Kangmin,김강민,13/11/2001,South Korea,BXB,M,,
Hamin,Jo Hamin,조하민,24/10/1997,South Korea,ENOi,M,,
Han,Han Jisung,한지성,14/09/2000,South Korea,Stray Kids,M,,
Han Geng,Han Geng,한경,09/02/1984,China,,M,,
Han Hyeri,Han Hyeri,한혜리,24/08/1997,South Korea,I.B.I,F,,
Han Leeseul,Han Jiyoon,한지윤,12/02/2000,South Korea,Rockit Girl,F,,
Hana,Shin Bora,신보라,30/04/1993,South Korea,Gugudan,F,,
Hana,Jung Hana,정하나,02/02/1990,South Korea,SECRET,F,,
Hana,Hayase Hana,하야세 하나,27/02/2000,Japan,ILY:1,F,,
Hanbin,Ngo Ngoc Hung,응오 응옥 흥,19/01/1998,Vietnam,TEMPEST,M,,
Hanbin,Sung Hanbin,성한빈,13/06/2001,South Korea,ZEROBASEONE,M,,
Hanbin,Choi Hanbin,최한빈,25/07/2007,South Korea,The Wind,M,,
Hanbin,Park Hanbin,박한빈,01/03/2002,South Korea,EVNNE,M,,
Hanbin,Lee Hanbin,이한빈,20/11/2001,South Korea,FANTASY BOYS,M,,
Hanbyeol,Ahn Hanbyeol,안한별,13/10/2003,South Korea,,F,,
Hanbyul,Kyung Hanbyul,경한별,01/07/2005,South Korea,PRECIOUS,F,,
Handong,Han Dong,한동,26/03/1996,China,Dreamcatcher,F,,
Haneul,Lee Haneul,이하늘,03/06/1996,South Korea,ARGON,M,,
Haneul,Choi Haneul,최하늘,28/11/2000,South Korea,Saturday,F,,
Haneul,Won Haneul,원하늘,25/05/2005,South Korea,KISS OF LIFE,F,,
Hangyeom,Song Hangyeom,송한겸,17/07/1996,South Korea,OMEGA X,M,,
Hangyul,Lee Hangyul,이한결,07/12/1999,South Korea,BAE173,M,,
Hani,Ahn Hee-yeon,안희연,01/05/1992,South Korea,EXID,F,,
Hanjin,Han Zhen,한쩐,05/01/2006,China,TWS,M,,
Hankook,Cho Hankook,조한국,03/04/2002,South Korea,TRENDZ,M,,
Hanna,Shin Jiyeon,신지연,19/02/1994,South Korea,MIXX,F,,
Hannah,Bae Hyunyoung,배현영,23/10/1999,South Korea,Queenz Eye,F,,
Hannah,Kang Minkyung,강민경,04/01/2003,South Korea,X:IN,F,,
Hanni,Pham Ngoc Han,팜응옥헌,06/10/2004,Vietnam,NewJeans,F,,
Hanse,Do Hanse,도한세,25/09/1997,South Korea,VICTON,M,,
Hansol,Kim Hansol,김한솔,15/06/1993,South Korea,Busan,M,,
Hanwoom,Byun Hanwoom,변한움,05/06/2001,South Korea,PRECIOUS,F,,
Haram,Kim Haram,김하람,13/01/2001,South Korea,Billlie,F,,
Haram,Shin Haram,신하람,17/10/2007,South Korea,BABYMONSTER,F,,
Haram,Yoo Haram,유하람,12/04/2007,South Korea,Hearts2Hearts,F,,
Hara,Koo Hara,구하라,13/01/1991,South Korea,KARA,F,,
Hari,,하리,08/04/2005,Japan,Girls' World,F,,
Harin,Ju Harin,주하린,29/03/1998,South Korea,Onewe,M,,
Harin,,하린,21/11/1995,South Korea,Lusty,F,,
Harin,Park Guenhye,박근혜,26/05/2000,South Korea,Pink Fantasy,F,,
Harin,Seo Harin,서하린,07/12/2000,South Korea,BOTOPASS,F,,
Harry-June,Han Harry-June,한해리준,01/01/2004,South Korea,DKB,M,,
Haru,Han Sangsook,한상숙,06/07/1994,South Korea,Gate9,F,,
Haru,Abe Haruno,아베 하루노,21/02/2000,Japan,NATURE,F,,
Haru,Lee Yoojeong,이유정,26/02/1997,South Korea,Ho1iday,F,,
Haruna,Osato Haruna,오사토 하루나,30/01/2006,Japan,Billlie,F,,
Haruto,Watanabe Haruto,와타나베 하루토,05/04/2004,Japan,Treasure,M,,
Haseul,Jo Haseul,조하슬,18/08/1997,South Korea,ARTMS,F,,
Haseung,Lee Taewoo,이태우,16/07/1999,South Korea,WHIB,M,,
Havit,Lee Havit,이하빛,07/06/1999,South Korea,TRENDZ,M,,
Hayeon,Jeong Hayeon,정하연,01/08/2007,South Korea,tripleS,F,,
Hayoon,Jung Hayoon,정하윤,21/11/1998,South Korea,Bonus Baby,F,,
Hayoung,Oh Hayoung,오하영,19/07/1996,South Korea,Apink,F,,
Hayoung,Lee Hayoung,이하영,03/08/1993,South Korea,Playback,F,,
Hayoung,Choi Hayoung,최하영,22/08/2000,South Korea,TRCNG,M,,
Hayoung,Song Hayoung,송하영,29/09/1997,South Korea,fromis_9,F,,
Hayuchan,Park Hayuchan,박하유찬,21/08/2007,South Korea,The Wind,M,,
Hayun,Lee Hayun,이하윤,29/08/1994,South Korea,,F,,
Hayun,Choi Hayun,최하윤,16/01/2004,South Korea,Hi-L,F,,
Hayun,Ha Seyun,하세윤,20/11/2003,South Korea,PRIMROSE,F,,
Hee,Shin Youngseo,신용서,28/12/2005,South Korea,DXMON,M,,
Heechan,Yang Heechan,양희찬,31/07/1999,South Korea,DKB,M,,
Heechul,Kim Heechul,김희철,10/07/1983,South Korea,Super Junior,M,,
Heechul,Jung Heechul,정희철,09/12/1989,South Korea,ZE:A,M,,
Heedo,Yoon Heedo,유희도,22/04/1996,South Korea,B.I.G,M,,
Heejin,Jeon Heejin,전희진,19/10/2000,South Korea,"Loona 1/3,ARTMS",F,,
Heejin,Song Heejin,송희진,19/08/1995,South Korea,Good Day,F,,
Heejoo,Jeon Heejoo,전희주,30/11/1996,South Korea,Ho1iday,F,,
Heeju,Chae Heeju,채희주,04/04/2003,South Korea,CMDM,M,,
Heejun,Oh Heejun,오희준,08/05/1996,South Korea,KNK,M,,
Heeo,Gwak Heeoh,곽히오,02/05/1994,South Korea,4TEN,F,,
Heeseok,Yun Heeseok,윤희석,10/06/1997,South Korea,Limitless,M,,
Heeseung,Lee Heeseung,이희승,15/10/2001,South Korea,ENHYPEN,M,,
Heesoo,Kim Heesoo,김희수,12/05/2004,South Korea,The Wind,M,,
Heesu,Kim Heesu,김희수,24/03/1998,South Korea,Maka Maka,F,,
Heesun,Park Heesun,박희선,25/01/2005,South Korea,Pink Fantasy,F,,
Heeyu,Choi Heejae,최희재,30/06/1995,South Korea,MIXX,F,,
Henny,Kang Gayoung,강가영,01/12/1994,South Korea,,F,,
Henry,Henry Lau,헨리 라우,11/10/1989,Canada,Super Junior-M,M,,
Heo Chan,Heo Chan,허찬,14/12/1995,South Korea,,M,,
High.D,Kim Dohee,김도희,21/12/1996,South Korea,Sonamoo,F,,
HighTop,Lim Hyeontae,임현태,19/03/1994,South Korea,Bigflo,M,,
Hikari,Etani Hikari,에타니 히카리,21/01/2002,Japan,FANTASY BOYS,M,,
Hikaru,Ezaki Hikaru,에자키 히카루,12/03/2004,Japan,Kep1er,F,,
Hikaru,Urabe Hikaru,우라베 히카루,14/07/2003,Japan,FANTASY BOYS,M,,
Himchan,Kim Himchan,김힘찬,19/04/1990,South Korea,B.A.P,M,,
Hina,Nagai Hina,나가이 히나,07/04/2003,Japan,LIGHTSUM,F,,
Hitomi,Honda Hitomi,혼다 히토미,06/10/2001,Japan,IZ*ONE,F,,
Hohyeon,Lee Hohyeon,이호현,14/10/2001,South Korea,TRCNG,M,,
Hojoon,Jeon Hojoon,전호준,31/10/1992,South Korea,Topp Dogg,M,,
Hojung,Go Hojung,고호정,20/10/1994,South Korea,HOTSHOT,M,,
Hong,Kim Hong,김홍,23/06/2005,South Korea,POW,M,,
Hongbin,Lee Hongbin,이홍빈,29/09/1993,South Korea,VIXX,M,,
Honggi,Lee Honggi,이홍기,02/03/1990,South Korea,FTISLAND,M,,
Hongil,Yoon Hongil,윤홍일,11/01/1999,South Korea,Astin,M,,
Hongjoong,Kim Hongjoong,김홍중,07/11/1998,South Korea,ATEEZ,M,,
Hongseob,Shim Hongseob,심홍섭,08/01/1998,South Korea,24K,M,,
Hongseok,Yang Hongseok,양홍석,17/04/1994,South Korea,PENTAGON,M,,
Hoon,Yeo Hoonmin,여훈민,16/08/1991,South Korea,U-KISS,M,,
Hoony,Lee Seunghoon,이승훈,11/01/1992,South Korea,WINNER,M,,
Hoshi,Kwon Soonyoung,권순영,15/06/1996,South Korea,Seventeen,M,,
Hoya,Lee Howon,이호원,28/03/1991,South Korea,Infinite H,M,,
Hoyoung,Bae Hoyoung,배호영,10/08/1998,South Korea,Verivery,M,,
Hu'e,Kim Inhye,김인혜,20/11/2003,South Korea,BADVILLAIN,F,,
Hueningkai,Kai Kamal Huening,카이 카말 휴닝,14/08/2002,USA,TXT,M,,
Hui,Lee Hwitaek,이회택,28/08/1993,South Korea,PENTAGON,M,,
Hui,Liang Hui,양휘,18/07/1995,China,24K,M,,
Huihyeon,Ki Huihyeon,기희현,16/06/1995,South Korea,DIA,F,,
Huijun,Noh Huijun,노휘준,07/10/2003,South Korea,MCND,M,,
Huiyeon,Oh Huiyeon,오휘연,01/08/2005,South Korea,,F,,
Hunter,Papungkorn Lertkiatdamrong,빠팡콘 륵키앗둠롱,05/10/2005,Thailand,xikers,M,,
Hwall,Heo Hyunjoon,허현준,09/03/2000,South Korea,,M,,
Hwanhee,Lee Hwanhee,이환희,06/05/1998,South Korea,UP10TION,M,,
Hwani,Jo Sihyeon,조시환,16/11/1994,South Korea,DUSTIN,M,,
Hwanwoong,Yeo Hwanwoong,여환웅,26/08/1998,South Korea,Oneus,M,,
Hwarang,Park Jonghan,박종찬,05/12/1995,South Korea,Spectrum,M,,
Hwarang,Son Jaewon,송재원,23/04/2001,South Korea,TEMPEST,M,,
Hwasa,Ahn Hyejin,안혜진,23/07/1995,South Korea,Mamamoo,F,,
Hweseung,Yoo Hweseung,유회승,28/02/1995,South Korea,N.Flying,M,,
Hwi,Jo Mingyu,조민규,26/09/2002,South Korea,Newkidd,M,,
Hwi,Lee Choonghyun,이충현,04/02/1999,South Korea,Ciipher,M,,
Hwi,Eun Hwi,은휘,11/11/2004,South Korea,TNX,M,,
Hwichan,Lee Heechan,이휘찬,18/04/1996,South Korea,OMEGA X,M,,
Hwiseo,Jo Hwihyeon,조휘현,31/07/2002,South Korea,H1-KEY,F,,
Hwiyoung,Kim Youngkyun,김영균,11/05/1999,South Korea,SF9,M,,
Hyangsuk,Lee Hyangsuk,이향숙,24/04/1991,South Korea,2EYES,F,,
Hyebin,Lee Hyebin,이혜빈,12/01/1996,South Korea,MOMOLAND,F,,
Hyebin,Im Hyebin,임혜빈,10/11/1999,South Korea,Highteen,F,,
Hyebin,Kim Hyebin,김혜빈,29/03/1997,South Korea,AREAL,F,,
Hyein,Lee Hyein,이혜인,21/04/2008,South Korea,NewJeans,F,,
Hyejeong,Shin Hyejeong,신혜정,10/08/1993,South Korea,AoA,F,,
Hyeji,Jeong Hyeji,정혜지,02/04/1992,South Korea,4TEN,F,,
Hyejin,Baek Hyejin,백혜진,21/11/1996,South Korea,4TEN,F,,
Hyejin,Kang Hyejin,강혜진,13/07/2000,South Korea,CRAXY,F,,
Hyejoo,Park Hyunjoo,박현주,12/01/1999,South Korea,Highteen,F,,
Hyeju,Son Hyeju,손혜주,13/11/2001,South Korea,Loona yyxy,F,,
Hyeju,Hong Hyeju,홍혜주,09/12/2003,South Korea,CLASS:y,F,,
Hyemi,Pyo Hyemi,표혜미,03/04/1991,South Korea,9Muses,F,,
Hyemi,Kim Hyemi,김혜미,10/08/1990,South Korea,Fiestar,F,,
Hyeoeun,Lee Hyoeun,이효은,16/03/1993,South Korea,Stellar,F,,
Hyeongjun,Song Hyeongjun,송형준,30/11/2002,South Korea,CRAVITY,M,,
Hyeongseok,Chu Hyeongseok,추형석,13/09/2000,South Korea,Astin,M,,
Hyeongshin,Kim Hyungshin,김형신,03/05/2002,South Korea,HOT ISSUE,F,,
Hyeontae,Oh Hyeontae,오현태,13/08/2008,South Korea,FANTASY BOYS,M,,
Hyeran,Noh Hyeran,노혜란,09/04/1993,South Korea,,F,,
Hyeri,Lee Hyeri,이혜리,09/06/1994,South Korea,Girl's Day,F,,
Hyerim,Woo Hyerim,우혜림,01/09/1992,South Korea,Wonder Girls,F,,
Hyerin,Seo Hyerin,서혜린,23/08/1993,South Korea,EXID,F,,
Hyerin,Kim Hyerin,김혜린,13/06/1993,South Korea,2EYES,F,,
Hyerin,Jeong Hyerin,정혜린,12/04/2007,South Korea,tripleS,F,,
Hyesung,Park Hyeseong,박혜성,17/01/1996,South Korea,VANNER,M,,
Hyewon,Kang Hyewon,강혜원,05/07/1999,South Korea,IZ*ONE,F,,
Hyeyeon,Kang Hyeyeon,강혜연,08/12/1990,South Korea,BESTie,F,,
Hyeyeon,Cho Hyeyeon,조혜연,05/08/2000,South Korea,Gugudan Oguogu,F,,
Hyogyeong,Jang Hyogyeong,장효경,15/11/1999,South Korea,ARIAZ,F,,
Hyojin,Kim Hyojin,김효진,22/04/1994,South Korea,ONF,M,,
Hyojung,Choi Hyojung,최효정,28/07/1994,South Korea,Oh My Girl,F,,
Hyomin,Park Sunyoung,박선영,30/05/1989,South Korea,T-ara,F,,
Hyori,Inn Hyori,인효리,02/06/2000,South Korea,mimiirose,F,,
Hyorin,Kim Hyojung,김효정,11/12/1990,South Korea,SISTAR19,F,,
Hyosun,Lim Hyosun,임효선,10/07/1998,South Korea,H.U.B,F,,
Hyosung,Jun Hyoseong,전효성,13/10/1989,South Korea,SECRET,F,,
Hyounjoon,Jang Hyounjoon,장현준,25/10/2008,South Korea,The Wind,M,,
Hyoyeon,Kim Hyoyeon,김효연,22/09/1989,South Korea,SNSD,F,,
Hyuk,Han Sanghyuk,한상혁,05/07/1995,South Korea,VIXX,M,,
Hyuk,Yang Hyuk,양혁,15/03/2000,South Korea,OMEGA X,M,,
Hyuk,Koo Bonhyuk,구본혁,17/04/2000,South Korea,TEMPEST,M,,
Hyukjin,Jang Hyukjin,장혁진,20/12/1993,South Korea,FAVE1,M,,
Hyukjin,Son Hyukjin,손혁진,12/12/2003,South Korea,WEUS,M,,
Hyun,Park Sunghyun,박성현,25/08/1997,South Korea,7 O'clock,M,,
HyunA,Kim Hyuna,김현아,06/06/1992,South Korea,4minute,F,,
Hyuna,Moon Hyuna,문현아,19/01/1987,South Korea,,F,,
Hyunbin,Kwon Hyunbin,권현빈,04/03/1997,South Korea,JBJ,M,,
Hyunbin,Kim Hyunbin,김현빈‬,26/05/2004,South Korea,TRI.BE,F,,
Hyunbin,Moon Hyunbin,문현빈,26/02/2000,South Korea,Ciipher,M,,
Hyunbin,Koo Hyunbin,구현빈,29/05/2003,South Korea,POW,M,,
Hyungseo,Myeong Hyeongseo,명형서,25/06/2001,South Korea,CLASS:y,F,,
Hyungseok,Song Hyungseok,송형석,06/11/2002,South Korea,YOUNITE,M,,
Hyungseop,Ahn Hyungseop,안형섭,09/08/1999,South Korea,TEMPEST,M,,
Hyungsik,Park Hyungsik,박형식,16/11/1991,South Korea,ZE:A,M,,
Hyungwon,Chae Hyungwon,채형원,15/01/1994,South Korea,MONSTA X,M,,
Hyunhah,Kim Hyunhah,김현하,09/05/2000,South Korea,CMDM,M,,
Hyunho,Lee Hyunho,이현호,04/11/1998,South Korea,D-CRUNCH,M,,
Hyunjae,Lee Jaehyun,이재현,13/09/1997,South Korea,The Boyz,M,,
Hyunji,Kim Hyunji,김현지,30/06/1992,South Korea,Hashtag,F,,
Hyunjin,Kim Hyunjin,김현진,15/11/2000,South Korea,Loossemble,F,,
Hyunjin,Hwang Hyunjin,황현진,20/03/2000,South Korea,Stray Kids,M,,
Hyunjoo,Lee Hyunjoo,이현주,05/02/1998,South Korea,UNI.T,F,,
Hyunjun,Lee Hyunjun,이현준,21/12/1999,South Korea,IZ,M,,
Hyunjun,Bae Hyunjun,배현준,06/06/2003,South Korea,ATBO,M,,
Hyunkyung,Kim Hyunjong,김현종,05/09/1998,South Korea,Romeo,M,,
Hyunmin,Byun Hyunmin,변현민,17/04/1999,South Korea,,M,,
Hyunoh,Park Hyunoh,백현우,12/02/1999,South Korea,D-CRUNCH,M,,
Hyunseo,Go Hyunseo,고현서,17/06/1999,South Korea,,F,,
Hyunseong,Shim Hyunseong,심현성,09/06/1993,South Korea,Boyfriend,M,,
Hyunseung,Jang Hyunseung,장현승,03/09/1989,South Korea,Troublemaker,M,,
Hyunseung,Kim Hyunseung,김현승,15/10/2002,South Korea,YOUNITE,M,,
Hyunsik,Lim Hyunsik,임현식,07/03/1992,South Korea,BtoB,M,,
Hyunsik,Won Hyunsik,원현식,12/09/1997,South Korea,XODIAC,M,,
Hyunsoo,Kim Hyunsoo,김현수,12/04/1995,South Korea,D1CE,M,,
Hyunsoo,Jang Hyunsoo,장현수,16/09/2003,South Korea,TNX,M,,
Hyunsuk,Choi Hyunsuk,최현석,21/04/1999,South Korea,Treasure,M,,
Hyunsuk,Yoon Hyunsuk,윤현석,08/09/2001,South Korea,CIX,M,,
Hyunuk,Han Hyunuk,한현욱,26/09/1994,South Korea,IN2IT,M,,
Hyunwoo,Kim Hyunwoo,김현우,21/01/2001,South Korea,BXB,M,,
Hyunwoo,Baek Hyunwoo,박현오,19/03/1999,South Korea,D-CRUNCH,M,,
Hyunwoo,Choi Hyunwoo,최현우,04/12/2004,South Korea,xikers,M,,
Hyunwook,Ji Hyunwook,지현욱,01/07/1998,South Korea,D-CRUNCH,M,,
Hyunwoong,Kim Hyunwoong,김현웅,08/02/1998,South Korea,14U,M,,
Hyunyoung,Cho Hyunyoung,조현영,11/08/1991,South Korea,Rainbow,F,,
Hyosun,Lim Hyosun,임효선,10/07/1998,South Korea,H.U.B,F,,
Hyosung,Jun Hyoseong,전효성,13/10/1989,South Korea,SECRET,F,,
Hyounjoon,Jang Hyounjoon,장현준,25/10/2008,South Korea,The Wind,M,,
Hyoyeon,Kim Hyoyeon,김효연,22/09/1989,South Korea,SNSD,F,,
Hyuk,Han Sanghyuk,한상혁,05/07/1995,South Korea,VIXX,M,,
Hyuk,Yang Hyuk,양혁,15/03/2000,South Korea,OMEGA X,M,,
Hyuk,Koo Bonhyuk,구본혁,17/04/2000,South Korea,TEMPEST,M,,
Hyukjin,Jang Hyukjin,장혁진,20/12/1993,South Korea,FAVE1,M,,
Hyukjin,Son Hyukjin,손혁진,12/12/2003,South Korea,WEUS,M,,
Hyun,Park Sunghyun,박성현,25/08/1997,South Korea,7 O'clock,M,,
HyunA,Kim Hyuna,김현아,06/06/1992,South Korea,4minute,F,,
Hyuna,Moon Hyuna,문현아,19/01/1987,South Korea,,F,,
Hyunbin,Kwon Hyunbin,권현빈,04/03/1997,South Korea,JBJ,M,,
Hyunbin,Kim Hyunbin,김현빈,26/05/2004,South Korea,TRI.BE,F,,
Hyunbin,Moon Hyunbin,문현빈,26/02/2000,South Korea,Ciipher,M,,
Hyunbin,Koo Hyunbin,구현빈,29/05/2003,South Korea,POW,M,,
Hyungseo,Myeong Hyeongseo,명형서,25/06/2001,South Korea,CLASS:y,F,,
Hyungseok,Song Hyungseok,송형석,06/11/2002,South Korea,YOUNITE,M,,
Hyungseop,Ahn Hyungseop,안형섭,09/08/1999,South Korea,TEMPEST,M,,
Hyungsik,Park Hyungsik,박형식,16/11/1991,South Korea,ZE:A,M,,
Hyungwon,Chae Hyungwon,채형원,15/01/1994,South Korea,MONSTA X,M,,
Hyunhah,Kim Hyunhah,김현하,09/05/2000,South Korea,CMDM,M,,
Hyunho,Lee Hyunho,이현호,04/11/1998,South Korea,D-CRUNCH,M,,
Hyunjae,Lee Jaehyun,이재현,13/09/1997,South Korea,The Boyz,M,,
Hyunji,Kim Hyunji,김현지,30/06/1992,South Korea,Hashtag,F,,
Hyunjin,Kim Hyunjin,김현진,15/11/2000,South Korea,Loossemble,F,,
Hyunjin,Hwang Hyunjin,황현진,20/03/2000,South Korea,Stray Kids,M,,
Hyunjoo,Lee Hyunjoo,이현주,05/02/1998,South Korea,UNI.T,F,,
Hyunjun,Lee Hyunjun,이현준,21/12/1999,South Korea,IZ,M,,
Hyunjun,Bae Hyunjun,배현준,06/06/2003,South Korea,ATBO,M,,
Hyunkyung,Kim Hyunjong,김현종,05/09/1998,South Korea,Romeo,M,,
Hyunmin,Byun Hyunmin,변현민,17/04/1999,South Korea,,M,,
Hyunoh,Park Hyunoh,백현우,12/02/1999,South Korea,D-CRUNCH,M,,
Hyunseo,Go Hyunseo,고현서,17/06/1999,South Korea,,F,,
Hyunseong,Shim Hyunseong,심현성,09/06/1993,South Korea,Boyfriend,M,,
Hyunseung,Jang Hyunseung,장현승,03/09/1989,South Korea,Troublemaker,M,,
Hyunseung,Kim Hyunseung,김현승,15/10/2002,South Korea,YOUNITE,M,,
Hyunsik,Lim Hyunsik,임현식,07/03/1992,South Korea,BtoB,M,,
